質問番号,質問項目,配置A（動的）,配置B（固定）,どちらでもない,配置A割合(%),配置B割合(%),どちらでもない割合(%),優位な配置
Q1,どちらの配置が、文字を読みやすいと感じましたか？,1,5,1,14.285714285714285,71.42857142857143,14.285714285714285,配置B
Q2,どちらの配置が、画像とキャプションを交互に見るのが楽でしたか？,4,2,1,57.14285714285714,28.57142857142857,14.285714285714285,配置A
Q3,どちらの配置が、自然な位置に表示されていると感じましたか？,2,5,0,28.57142857142857,71.42857142857143,0.0,配置B
Q4,どちらの配置が、単語の意味を理解しやすかったですか？,3,4,0,42.857142857142854,57.14285714285714,0.0,配置B
Q5,どちらの配置が、画像の内容と単語を関連付けやすかったですか？,6,0,1,85.71428571428571,0.0,14.285714285714285,配置A
Q6,どちらの配置が、単語の記憶に役立ったと感じましたか？,5,2,0,71.42857142857143,28.57142857142857,0.0,配置A
Q7,どちらの配置が、効率的に学習を進められたと感じましたか？,3,4,0,42.857142857142854,57.14285714285714,0.0,配置B
Q8,どちらの配置が、学習していて疲れにくいと感じましたか？,3,3,1,42.857142857142854,42.857142857142854,14.285714285714285,同数
Q9,どちらの配置が、集中力を維持しやすいと感じましたか？,4,3,0,57.14285714285714,42.857142857142854,0.0,配置A
Q10,どちらの配置が、ストレスを感じずに学習できましたか？,3,4,0,42.857142857142854,57.14285714285714,0.0,配置B
Q11,総合的に見て、どちらの配置が好みでしたか？,4,3,0,57.14285714285714,42.857142857142854,0.0,配置A
Q12,もし次回も使うとしたら、どちらの配置を選びますか？,4,3,0,57.14285714285714,42.857142857142854,0.0,配置A
Q13,システムとして「使いやすい」と感じたのはどちらですか？,3,4,0,42.857142857142854,57.14285714285714,0.0,配置B
