質問番号,質問項目,正規性,Shapiro_p,検定方法,配置手法_p,配置手法_sig,時間制限_p,時間制限_sig,交互作用_p,交互作用_sig
Q1,テキストの配置によって、集中が妨げられた。,非正規,0.0004725771074567748,Wilcoxon,0.75,n.s.,0.25,n.s.,,N/A
Q2,テキストを読むために余計な精神的努力が必要だと感じた。,非正規,0.0008008241179976593,Wilcoxon,0.5,n.s.,0.0625,n.s.,,N/A
Q3,テキストのせいで学習のリズムが崩れた。,非正規,0.00012410843581729493,Wilcoxon,0.59375,n.s.,0.03125,*,,N/A
Q4,テキストの位置が不快だった。,非正規,2.977731619407764e-05,Wilcoxon,0.78125,n.s.,0.25,n.s.,,N/A
Q5,テキストは読みやすい位置に表示されていた。,非正規,0.045639657997701456,Wilcoxon,0.671875,n.s.,1.0,n.s.,,N/A
Q6,テキストの位置は自然だと感じた。,非正規,0.0014706435309047863,Wilcoxon,0.125,n.s.,1.0,n.s.,,N/A
Q7,テキストと画像とを、素早く関連付けることができた。,非正規,0.007094608810513993,Wilcoxon,0.40625,n.s.,0.125,n.s.,,N/A
Q8,テキストの位置は予測しやすかった。,非正規,7.068081799454388e-05,Wilcoxon,0.03125,*,0.5,n.s.,,N/A
Q9,テキストを探す必要はなかった。,非正規,0.00025454267760038137,Wilcoxon,0.078125,n.s.,0.125,n.s.,,N/A
Q10,テキストを読む動作はスムーズだった。,非正規,0.006971531871804812,Wilcoxon,0.34375,n.s.,1.0,n.s.,,N/A
Q11,このテキストの配置方法は使いやすいと思った。,非正規,0.017576608924518185,Wilcoxon,0.125,n.s.,0.96875,n.s.,,N/A
Q12,テキストの配置は、学習の助けになったと思う。,非正規,0.015256404585918561,Wilcoxon,0.796875,n.s.,0.1875,n.s.,,N/A
Q13,テキストの配置は、画像の内容を理解するのに役立った。,正規,0.07655161790015727,RM-ANOVA,0.21994381924181947,n.s.,0.8867966519320399,n.s.,0.8867966519320399,n.s.
Q14,テキストの配置は、単語の意味を覚えるのに役立った。,正規,0.11208161581532333,RM-ANOVA,0.8895790719189123,n.s.,0.5891436701085881,n.s.,0.034938431160900105,*
Q15,このテキストの配置方法は好ましいと感じた。,非正規,0.009102883701267803,Wilcoxon,0.640625,n.s.,0.5,n.s.,,N/A
Q16,このテキストの配置方法には満足している。,非正規,0.026229279635881567,Wilcoxon,0.578125,n.s.,1.0,n.s.,,N/A
Q17,今後もこのテキスト配置方法を使いたいと思った。,非正規,0.004572224356048899,Wilcoxon,0.09375,n.s.,0.90625,n.s.,,N/A
